name,type,mass,radius,x,y,z,vx,vy,vz,R,G,B
Sun,star,1000,1.5,0,0,0,0,0,0,1.0,1.0,0.0
Sun2,star,700,1.2,40,20,0,0,0,0,1.0,0.3,0.1
Sun3,star,500,1.0,-40,-20,10,0,0,0,1.0,0.9,0.2
Sun4,star,800,1.3,0,50,-20,0,0,0,1.0,0.5,0.2
Sun5,star,600,1.1,-60,30,20,0,0,0,1.0,0.4,0.1
Planet1,planet,1,0.25,8,0,0,0,11.18,0,0.2,0.5,1.0
Planet2,planet,2,0.3,14,0,0,0,8.45,0,0.8,0.2,0.2
Planet3,planet,0.5,0.18,0,18,0,-7.45,0,0,0.2,1.0,0.4
Planet4,planet,1.5,0.28,-12,0,0,0,-9.13,0,0.9,0.4,0.1
Planet5,planet,0.8,0.22,0,-10,0,10,0,0,0.4,0.2,1.0
Planet6,planet,1,0.2,45,20,0,0,5.9,0,0.2,0.8,1.0
Planet7,planet,1.2,0.25,35,20,0,0,-6.1,0,1.0,0.2,0.3
Planet8,planet,0.7,0.2,40,27,0,-5.4,0,0,0.5,1.0,0.3
Planet9,planet,1,0.22,40,12,0,5.2,0,0,0.7,0.3,1.0
Planet10,planet,0.6,0.18,-35,-20,10,0,6.0,0,0.3,0.8,0.2
Planet11,planet,1.1,0.24,-45,-20,10,0,-5.5,0,1.0,0.3,0.2
Planet12,planet,0.5,0.18,-40,-27,10,5.3,0,0,0.2,0.6,1.0
Planet13,planet,0.8,0.21,-40,-13,10,-5.5,0,0,0.8,0.2,0.9
Planet14,planet,1,0.2,0,58,-20,0,5.8,0,0.3,1.0,0.4
Planet15,planet,1.5,0.28,0,43,-20,0,-6.8,0,1.0,0.4,0.1
Planet16,planet,0.8,0.2,-7,50,-20,-5.8,0,0,0.2,0.4,1.0
Planet17,planet,0.8,0.2,7,50,-20,5.8,0,0,0.9,0.2,0.5
Planet18,planet,1,0.23,-55,30,20,0,5.5,0,0.1,0.8,0.9
Planet19,planet,1.3,0.27,-65,30,20,0,-5.0,0,1.0,0.2,0.1
Planet20,planet,0.6,0.18,-60,37,20,-4.8,0,0,0.4,1.0,0.3
Collision1,planet,3,0.5,-20,0,0,4,0,0,1.0,0.1,0.1
Collision2,planet,3,0.5,20,0,0,-4,0,0,0.1,1.0,0.1
