name,type,mass,radius,x,y,z,vx,vy,vz,R,G,B
black_hole,star,35500,100.7086,0,0,0,0,0,0,0.0001,0.0,0.0
sys0_planet0,planet,1.9696327,2.81424,-21.571918,-30.461666,0.71751703,4.2182107,-2.9871936,0.1100568,0.8517,0.7590,0.8871
sys0_planet1,planet,7.3756667,1.24694,41.814151,54.734912,1.1700001,-3.0106122,2.299925,-0.0092925807,0.7368,0.7953,0.8519
sys0_planet2,planet,4.7700361,2.63793,97.337341,13.010547,-2.282809,-0.41864747,3.1320766,-0.017547962,0.7623,0.8019,0.9000
sys0_planet3,planet,2.0701618,2.34233,76.796888,-104.13666,-3.088215,2.2160241,1.6342348,0.077484389,0.9635,0.8233,0.1611
sys0_planet4,planet,6.7642421,3.23716,77.764198,-134.44714,-3.6382661,2.2244579,1.286626,-0.044831513,0.0835,0.7592,0.6518
sys0_planet5,planet,6.8748199,2.04956,32.972244,-178.97092,-3.478807,2.3078439,0.42517963,0.0035801586,0.4417,0.2562,0.1304
sys0_planet6,planet,3.0033433,1.78926,134.20316,161.74398,-0.2434486,-1.6745054,1.3893805,0.037584643,0.7479,0.1631,0.8883
sys0_planet7,planet,4.3299348,3.09111,227.01226,-75.565981,5.2092184,0.64532071,1.9386463,0.024057232,0.3654,0.9790,0.1896
sys1_star,star,1000,11.7975,1369.7802,-305.6078,1792.9896,0,0,0,1.0000,0.9464,0.8356
sys1_planet0,planet,2.1017285,2.3932,1333.5118,-329.81917,1793.6345,2.6823175,-4.0180869,-0.048974038,0.1109,0.4904,1.0000
sys1_planet1,planet,3.9880104,2.4189,1312.5689,-293.19088,1793.059,-0.88353507,-4.0709109,0.017241375,0.0793,0.4707,0.9446
sys1_planet2,planet,5.4027282,1.70082,1442.6974,-260.79227,1793.6969,-1.7854416,2.9050056,-0.01946814,0.7582,0.2095,0.8698
sys1_planet3,planet,3.5594419,1.83496,1329.3575,-211.28718,1791.1515,-2.8389668,-1.2166885,0.030881565,0.6019,0.5740,0.6712
sys1_planet4,planet,5.7703059,3.36823,1394.5986,-434.38411,1792.8479,2.7014024,0.52062558,0.036561215,1.0000,0.6428,0.0299
sys1_planet5,planet,6.6206561,1.59747,1244.8467,-382.98801,1794.4212,1.353467,-2.1852277,0.033661039,0.0000,0.7222,0.9654
sys1_planet6,planet,7.0456802,1.56655,1524.6481,-392.73221,1795.6052,1.1495607,2.0433994,-0.054161807,1.0000,0.1548,0.6266
sys1_planet7,planet,6.2364667,1.33515,1522.9249,-421.29571,1788.264,1.3651646,1.8071697,-0.0040679257,0.7362,0.8182,0.8907
sys1_planet8,planet,1.9845673,3.0934,1592.0174,-298.02287,1787.7772,-0.072564685,2.1261326,-0.02758077,0.1262,0.7400,0.6569
sys1_planet9,planet,1.0868971,2.16223,1291.9628,-535.82019,1797.2864,1.8952328,-0.6406353,-0.015393567,0.1474,0.4532,0.9707
sys2_star,star,1000,8.93128,986.84015,-2029.1133,2378.1118,0,0,0,0.9822,0.5528,0.1161
sys2_planet0,planet,2.4806068,2.36065,957.51056,-2062.9806,2378.2816,3.5333473,-3.0599256,0.06172972,0.8884,0.2890,0.0634
sys2_planet1,planet,1.1593474,1.5508,929.1376,-2032.1444,2377.8214,0.21806,-4.1511486,0.086337421,0.5877,0.0704,0.9617
sys2_planet2,planet,4.7476194,1.65601,941.16981,-2080.6734,2377.7937,2.84446,-2.5195336,-0.060401478,0.6397,0.4178,0.1587
sys2_planet3,planet,5.2542211,1.65378,904.96258,-2069.1978,2378.4257,1.4651181,-2.99268,-0.0094752082,0.0681,0.2872,0.9100
sys2_planet4,planet,7.1025828,3.28685,915.11219,-2101.7597,2377.367,2.2279441,-2.1997763,0.044873007,0.5440,0.5727,0.7151
sys2_planet5,planet,6.7517464,0.950033,1053.2086,-2137.5967,2378.0727,2.3644374,1.4465262,0.018448844,0.8900,0.2659,0.0392
sys2_planet6,planet,6.8667294,1.80511,931.31522,-1898.315,2379.9166,-2.4063605,-1.0215194,-0.052043927,0.7248,0.1474,0.7962
sys2_planet7,planet,5.5325539,2.7046,1135.0351,-2068.7263,2382.0841,0.66472192,2.4867654,-0.014403805,0.0396,0.9035,0.8970
sys2_planet8,planet,6.7068039,3.47066,1029.9009,-1865.4321,2378.3341,-2.3270213,0.61218642,-0.016563616,0.4189,0.2968,0.1133
sys2_planet9,planet,3.5268543,2.06718,809.79639,-1969.4228,2377.0609,-0.7298106,-2.1646409,0.0030036075,0.9373,0.0471,0.0643
sys2_planet10,planet,4.7329169,2.13188,1190.0401,-1970.5637,2375.1553,-0.59833151,2.076549,-0.011643017,0.0210,0.2211,0.9587
sys2_planet11,planet,2.9962062,2.25672,854.84931,-2208.7553,2380.098,1.7202813,-1.2639655,0.0043417442,0.1232,0.4635,1.0000
sys2_planet12,planet,4.7382791,3.09574,1015.1975,-2270.2927,2382.5836,2.0156735,0.23699879,-0.0062324337,0.9189,0.8475,0.2117
sys3_star,star,1000,11.785,1305.6985,1430.3215,-1859.4318,0,0,0,0.9847,0.8580,0.4648
sys3_planet0,planet,5.793498,3.40067,1273.4919,1399.941,-1859.484,3.286669,-3.4842209,0.017408662,0.0697,0.2125,0.9750
sys3_planet1,planet,7.7615394,3.45836,1298.5878,1366.2327,-1859.6341,3.9202615,-0.43495757,0.0092868305,0.1137,0.8422,0.8552
sys3_planet2,planet,7.8255441,1.91126,1320.7557,1343.5428,-1859.4793,3.3683105,0.58444375,0.0082614726,0.0798,0.8446,0.2280
sys3_planet3,planet,3.0443485,0.931486,1342.9643,1320.4865,-1856.856,2.807514,0.95255938,0.013284846,0.9582,0.8002,0.2156
sys3_planet4,planet,1.9528277,2.47912,1395.3143,1329.2583,-1857.7392,2.0541965,1.8215171,0.0066342964,0.0346,0.7511,0.9594
sys3_planet5,planet,5.4057412,1.44168,1233.8899,1284.2362,-1863.4346,2.2177727,-1.0901516,-0.010172504,1.0000,0.7392,0.0858
sys3_planet6,planet,1.5819901,1.02899,1143.7693,1327.1005,-1860.468,1.2183435,-1.9112905,-0.0043047788,0.5684,0.5477,0.7245
sys3_planet7,planet,4.6414882,3.49347,1522.0295,1428.6134,-1861.7378,0.016928387,2.1439729,-0.0030446053,0.4894,0.6058,0.6863
sys3_planet8,planet,1.6956344,0.847706,1060.9264,1435.0642,-1864.1142,-0.038994547,-2.0125156,-0.022217123,0.7196,0.2062,0.9424
sys4_star,star,1000,10.5223,-248.07031,-646.00988,2133.8249,0,0,0,0.9996,0.3620,0.0232
sys4_planet0,planet,3.8624327,3.48569,-288.79929,-662.57817,2134.4967,1.812282,-4.4550394,0.039283219,0.9348,0.0632,0.1077
sys4_planet1,planet,3.5204827,0.896775,-205.77825,-614.50713,2134.2471,-2.6368494,3.5399386,0.013863634,0.4712,0.0711,0.9226
sys4_planet2,planet,2.5693026,0.937593,-246.36464,-577.0083,2132.2569,-3.8000242,0.093933716,-0.0076443599,0.5480,0.6367,0.6658
sys4_planet3,planet,0.11311959,1.10259,-223.9951,-559.03601,2132.89,-3.1979825,0.88523259,0.021485108,0.0138,0.7496,0.9426
sys4_planet4,planet,6.7455093,1.50294,-349.68274,-639.2977,2132.9352,-0.2061244,-3.1204178,-0.010975047,0.0202,0.6976,0.6177
sys4_planet5,planet,3.7400799,2.72121,-231.81339,-527.77604,2132.7674,-2.9046922,0.39938941,-0.033429761,0.3520,0.9692,0.1934
sys4_planet6,planet,0.97397279,2.4744,-131.81071,-711.04817,2130.408,1.325131,2.3687463,0.021903892,1.0000,0.3643,0.0000
sys4_planet7,planet,6.2062054,3.10983,-98.909826,-641.56492,2136.5835,-0.077383349,2.5967683,0.013413003,0.1004,0.7395,0.6145
sys4_planet8,planet,2.615353,2.95788,-376.31221,-743.46655,2137.9053,1.501339,-1.9755914,-0.022849303,0.0937,0.7722,0.9759
sys4_planet9,planet,1.4073533,2.75799,-92.95353,-563.11904,2129.5023,-1.1186509,2.093374,0.0019847626,0.7589,0.1105,0.1676
sys4_planet10,planet,5.5754539,1.26695,-100.06204,-768.4225,2134.7685,1.4379151,1.7385735,0.004575422,0.9544,0.1482,0.5972
sys4_planet11,planet,7.0550044,2.24774,-42.479354,-654.94861,2134.7369,0.094681745,2.1776823,0.0054229155,0.8621,0.2447,0.0239
sys4_planet12,planet,0.2434683,2.40843,-437.28923,-773.85282,2131.3716,1.1772738,-1.7424699,-0.037572615,0.0859,0.9014,0.8704
sys4_planet13,planet,4.5788086,2.84774,-472.57151,-724.51782,2132.532,0.68047928,-1.9458976,0.026537667,0.0565,0.7388,0.6576
sys5_star,star,1000,8.07482,719.3256,1613.8081,-282.92901,0,0,0,1.0000,0.9599,0.8074
sys5_planet0,planet,6.285385,2.33882,687.5058,1644.0473,-282.88989,-3.3117866,-3.4848936,-0.12849751,0.9867,0.6236,0.0687
sys5_planet1,planet,7.8358746,1.81829,764.34872,1646.4599,-283.78928,-2.5076172,3.457718,-0.014348954,0.1114,0.7467,0.9546
